question,bloom_taxonomy_level,Unnamed: 2
Draw the small signal model of an FET and explain the significance of each element.,Understand,
List the Modem operational modes.,Remember,
Explain the operation of a common-gate amplifier with a diagram.,Understand,
Explain the characteristics of Electromagnetic waves.,Understand,
Write a short note on the Giga-scale dilemma.,Understand,
Derive an expression for the continuity equation and explain its importance.,Understand,
What is the use of Cladding in an Optical Fiber? Give the limitations of Optical Fiber.,Remember,
Develop a conceptual model for a heat exchanger that improves efficiency while reducing material costs.,Create,
Design a new type of antenna that optimizes signal strength for 5G networks.,Create,
Write in detail about the optical properties of Radio Waves.,Understand,
Explain Amplitude Modulation with a neat sketch.,Understand,
Explain the piecewise linear function with a neat sketch.,Understand,
Explain the architecture of a recommendation system.,Understand,
Explain hybrid AI systems and their advantages.,Understand,
What are Microwaves? What are the advantages and disadvantages of Microwave Radio Communications?,Remember,
Derive the expression for the Fermi level in an intrinsic semiconductor. Express electron and hole concentrations in terms of the Fermi level.,Understand,
Explain small signal analysis of a common-source FET amplifier.,Analyze,
Explain the minimax algorithm.,Understand,
"For a 20-channel PCM/TDM system with an 8-KHz sample rate, 10 bits per sample, and one framing bit per frame, determine the Line speed.",Apply,
What is virtual memory? How does it improve system performance?,Understand,
Design a database system that optimizes data retrieval speed for large-scale applications.,Create,
"Derive the expressions for the current gain, voltage gain, input impedance, and output impedance of a CB amplifier using the h-parameter model.",Understand,
What is the importance of reactive power? Explain reactive power control using a fuzzy logic controller.,Understand,
What is feedforward recall?,Remember,
"Draw and explain Single-Channel, Simplex PCM transmission system.",Understand,
Write about FPGA programming technologies in detail.,Understand,
"With necessary equations, derive charge densities in a semiconductor material.",Understand,
Explain BiCMOS fabrication in the p-well process and its operation.,Understand,
Explain demand paging and page replacement algorithms.,Understand,
What are the characteristics of Electromagnetic waves?,Understand,
Sketch the block diagram of a digital camera and explain digital camera implementation in an embedded operating system.,Understand,
Explain DNS (Domain Name System) and its hierarchy.,Understand,
Explain why delta modulation is a special case of DPCM.,Understand,
Compare transistor amplifiers and explain their differences.,Understand,
How can we check the effectiveness of data communication?,Evaluate,
Discuss the importance of data warehousing and data mining.,Understand,
What is meant by Network Topology? Draw and explain the structure of all Multipoint Topologies.,Understand,
Demodulate a PSK signal using a coherent receiver.,Apply,
Explain the threshold function with a neat sketch.,Understand,
Explain clocked CMOS registers in detail.,Understand,
Explain the various details held by a Map file generated during the process of cross-compiling an Embedded C project.,Understand,
Explain the different sources of wiring capacitances and their impact on VLSI circuit performance.,Understand,
Write short notes on the modeling of a transistor in detail.,Understand,
Describe methods for driving large capacitive loads.,Understand,
Explain the characteristics of AI problems.,Understand,
"Compare the performance of inductive, L-section, and Ï€-section filters.",Analyze,
Implement the McCulloch-Pitts network for the AND logic function.,Apply,
Define Carrier Systems and explain in detail about T-Carrier Systems.,Understand,
Explain pipelining for optimizing sequential circuits.,Understand,
"Discuss pattern recognition, control, and beamforming learning tasks.",Understand,
Explain briefly about Frequency-Division Multiplexing (FDM).,Understand,
Explain the different types of design rules and give some examples.,Understand,
Define Artificial Intelligence.,Remember,
Explain why it is better to fix the quiescent operating point in the middle of the active region.,Understand,
Derive entropy for a binary asymmetric channel output.,Understand,
Explain in detail about the single-mode and multi-mode step-index optical fiber.,Understand,
Determine the Checksum for the following data and CRC-generating polynomials: ( G(x) = x^7 + x^4 + x^2 + x^0 ) ( P(x) = x^5 + x^4 + x^1 + x^0 ),Apply,
What is indexing in a database? Explain different types of indexing.,Understand,
Describe in detail about Satellite Communication Systems.,Understand,
What is deep learning? Explain its importance in modern AI.,Understand,
Explain briefly about First Generation Analog Cellular Telephone Systems.,Understand,
Discuss the limits of scaling and explain why scaling is necessary for VLSI circuits.,Understand,
What are convolutional neural networks (CNNs)? Explain their working.,Understand,
Explain how optical fiber is constructed with a diagram.,Understand,
Write short notes on the ultra-deep-submicron era.,Understand,
Design a web-based adaptive learning system that dynamically adjusts content difficulty based on user performance.,Create,
Explain the PMOS enhancement mode fabrication process for different conditions of Vds.,Understand,
What is Multiplexing? Define Time Division Multiplexing.,Understand,
"Compare circuit switching, packet switching, and message switching.",Analyze,
Invent a new braking system for bicycles that enhances safety without using traditional disc or drum brakes.,Create,
Define Electromagnetic Radiation. Write the mathematical representation of power density.,Remember,
Explain why the self-biasing arrangement cannot be used in an enhancement-type MOSFET.,Understand,
What are optical fiber modes? Explain.,Understand,
Explain the working of an enhancement-type MOSFET.,Understand,
Draw the stick diagram for a 3-input NAND gate.,Apply,
Explain why the self-biasing arrangement cannot be used in an enhancement-type MOSFET.,Understand,
Write about Linear versus Non-linear PCM codes.,Understand,
Explain reinforcement learning with an example.,Understand,
What are the Optical Properties of Radio Waves?,Understand,
Define Metallic Transmission Lines. Explain the types of metallic transmission lines.,Understand,
List out the disadvantages of optical fiber.,Remember,
Discuss the different â€˜embedded firmware designâ€™ approaches in detail.,Understand,
Explain in detail about the On-Chip Debugging (OCD).,Understand,
Compare BCNF and 3NF with examples.,Analyze,
Discuss about the ISO/OSI reference model with a neat sketch.,Understand,
Explain the significance of Hall Effect and its applications.,Understand,
Compare macro cellular system and digital cellular system.,Analyze,
Explain how a DSB-SC signal is detected using a coherent detector.,Understand,
What are the advantages of optical fiber cables?,Remember,
Discuss security threats and protection mechanisms in OS.,Understand,
Design a 2-input Ex-OR using CMOS Transmission gate.,Apply,
Explain the concept of query optimization in SQL.,Understand,
Compare the advantages of FinFETs and TFETs in ultra-low-power applications.,Understand,
"Explain CLB, IOB, and programmable interconnects in an FPGA design.",Understand,
What is NAT (Network Address Translation)? How does it work?,Understand,
Create a fault-tolerant CMOS inverter that can still function under partial transistor failure.,Create,
Write a detailed note on Synchronous Voice-Band Modem.,Understand,
What is meant by the learning process?,Remember,
Draw encoder/decoder diagrams for a cyclic code with 1+D+D3.,Apply,
Explain the trade-off between bandwidth and SNR.,Understand,
What is latch-up? How can it be eliminated?,Understand,
What is the difference between propositional logic and predicate logic?,Understand,
Discuss the operation of a UJT with necessary diagrams.,Understand,
Explain the future trends in AI research.,Understand,
Illustrate the watchdog timer for firmware execution supervision.,Apply,
List out the advantages of Optical Fiber cables.,Remember,
Create an urban drainage system to prevent flooding in high-rainfall areas.,Create,
Draw the state transition diagram for a convolutional encoder with given equations.,Apply,
Develop an innovative method to reduce power losses in a transmission system.,Create,
Explain the importance of heuristics in AI search.,Understand,
Explain the impact of AI on supply chain management.,Understand,
Explain in detail about Frequency Division Multiplexing.,Understand,
Draw and explain a BiCMOS inverter.,Understand,
"Explain SQL commands: DDL, DML, DCL, and TCL.",Understand,
What is meant by Redundancy Checking? Explain four basic types of Redundancy Checks.,Understand,
Design a 2-input Multiplexer using CMOS Transmission gate.,Create,
Describe how AI is used in self-driving cars.,Understand,
Describe the different categories of Satellites.,Understand,
What are the advantages of Microwave Radio Communication?,Remember,
Discuss the principles of TFET technology.,Understand,
What is a semaphore? How does it help in process synchronization?,Understand,
What is normalization? Explain different normal forms.,Understand,
Explain about the Optical Fiber Communications System with a block diagram.,Understand,
Explain the operation of a photo transistor.,Understand,
Design an energy harvesting system that generates power from walking movements in urban areas.,Create,
Discuss federated learning and its applications.,Understand,
Describe economic load dispatch using artificial neural networks.,Understand,
What are ACID properties in DBMS? Why are they important?,Understand,
Draw the circuit diagram of a single-stage amplifier with a resistive load and explain its operation.,Understand,
Explain about Personal Communication System. Give its advantages and disadvantages.,Understand,
Discuss briefly about Quadrature Amplitude Modulation.,Understand,
Explain how thermistors are used for bias compensation.,Understand,
Explain in detail about Error-Detection mechanisms with suitable examples.,Understand,
Explain syndrome decoding and its error pattern identification.,Understand,
Describe in detail about Terrestrial Propagation of Electromagnetic Waves.,Understand,
"Generate codewords for cyclic BCH (15,5) code using g(x)=x10+x8+x5+x4+x2+x+1.",Apply,
Explain the process of Frequency Division Multiplexing.,Understand,
Explain the problem of driving large capacitive loads. How can such loads be driven?,Understand,
Determine L=2n for a PCM signal with Î¼=100 and SNR = 40 dB. Calculate output SQNR.,Apply,
Explain inductive reasoning in fuzzy membership assignment.,Understand,
"Depicting the organization of layers, explain the Open System Interconnection model.",Understand,
What are the classes of transmission media?,Remember,
What is meant by Diffraction?,Remember,
Discuss different FPGA families and their differences.,Understand,
Explain how compressors and expanders are used for non-uniform quantization.,Understand,
Explain why a matched filter is called an optimum filter.,Understand,
Explain the different sources of wiring capacitances and their impact on VLSI circuit performance.,Understand,
"Explain static, dynamic, and domino logics with examples.",Understand,
Explain in detail about Layered Network Architecture.,Understand,
Explain the concept of knowledge representation in artificial neural networks.,Understand,
Discuss the role of AI in natural language processing (NLP).,Understand,
How does the depletion region around the source and drain change due to scaling down of device dimensions?,Understand,
Discuss different types of file systems in an operating system.,Understand,
Use Schwartz inequality to find Hopt(f) for a matched filter.,Apply,
Explain Time-to-market? What is its significance in product development?,Understand,
What is VPN? How does it ensure secure communication?,Understand,
What is an FPGA? Draw its structure and list advantages.,Understand,
Explain how light propagates through optical fiber.,Understand,
Differentiate between crisp sets and fuzzy sets.,Understand,
Draw and explain the V-I characteristics of a Varactor diode.,Understand,
Describe the working of firewalls and intrusion detection systems.,Understand,
Describe fuzzy Cartesian product with expressions.,Understand,
Describe fuzzy logic with an example.,Understand,
Explain briefly about Spherical Wavefront and the Inverse Square Law.,Understand,
Write the sequence of the learning process.,Remember,
Explain the operation of multiplexer-based latches in detail.,Understand,
Write a short note on layered network architecture.,Understand,
"Discuss in detail about the construction of Optical Fiber. Also, list the advantages of Optical Fiber cables.",Understand,
Draw the h-parameter equivalent circuit for a common base amplifier and derive expressions for Al and Av.,Apply,
How does the depletion region around the source and drain change due to scaling down of device dimensions?,Understand,
Why are pre-emphasis and de-emphasis needed in FM but not in AM? Explain.,Understand,
Explain about wave propagation on metallic transmission lines and metallic transmission line losses.,Understand,
Explain about diagonal clipping in a diode detector. How can it be eliminated?,Understand,
Explain how the Q-point is obtained graphically.,Understand,
Explain BiCMOS fabrication in the p-well process and its operation.,Understand,
Explain Static power dissipation and Dynamic power dissipation.,Understand,
"Derive expressions for input impedance, voltage gain, and output impedance of a common-source amplifier with a source resistor.",Apply,
Describe the significance of deep learning in image processing.,Understand,
"Derive expressions for input impedance, voltage gain, and output impedance of a common-drain amplifier.",Apply,
Discuss briefly about Signal-to-Noise Ratio.,Understand,
What is the difference between direct and indirect methods of FM generation? Explain the working of a balanced frequency discriminator with the help of a circuit diagram.,Understand,
Explain about Asynchronous Voice-Band Modems with a neat Sketch.,Understand,
Describe different types of CPU scheduling algorithms.,Understand,
Define FDMA and write about AMPS identification codes.,Understand,
Explain the construction and tunneling phenomenon of a Tunnel diode.,Understand,
What is PCM Line speed? Represent it mathematically.,Understand,
Describe different types of network topologies with diagrams.,Understand,
Describe rule-based expert systems.,Understand,
Explain the radial basis function algorithm.,Understand,
What is ROM emulation? Explain In Circuit Emulator (ICE) based debugging in detail.,Understand,
Explain a new way to visualize multi-dimensional datasets in a way that improves human interpretability without reducing information density.,Create,
What is the use of the backpropagation algorithm?,Understand,
What are NoSQL databases? Compare them with relational databases.,Understand,
Explain the significance of barcodes in detail.,Understand,
Derive Idl dVdsv ds relationship of MOS in the Resistive region.,Apply,
Write a short note on the four predominant methods of Pulse Modulation.,Understand,
Write a short note on Multi-Frequency and Dial Pulses.,Remember,
Explain the three levels of database architecture.,Understand,
Explain the need for biasing in electronic circuits. What factors affect the stability factor?,Understand,
"Explain Fan-in, Fan-out, and Choice of layers in gate-level design.",Remember,
What is CDMA? Explain in Detail.,Remember,
What is sheet resistance? Derive the Expression for Rs.,Understand,
Build a machine learning model that predicts traffic congestion and suggests alternative routes.,Create,
"Compare the performance of inductive, L-section, and Ï€-section filters.",Understand,
Explain the operation of a common-gate amplifier with a diagram.,Remember,
Discuss about DIGITAL COMPANDING.,Remember,
Explain diode compensation against variations in base-emitter voltage (VBE).,Understand,
Explain in detail the p-well process for CMOS fabrication indicating the masks used.,Understand,
Briefly describe ATCT FDM hierarchy.,Remember,
Draw and explain the V-I characteristics of a Varactor diode.,Understand,
Write short notes on metastability in CMOS logic.,Remember,
Explain FinFET technology.,Remember,
"Explain the following operations on crisp sets with examples: (i) Complement, (ii) Difference.",Understand,
Explain the various factors to be considered for the selection of scheduling criteria.,Understand,
Compare transistor amplifiers and explain their differences.,Understand,
"Define fuzzy sets and verify properties such as complement, associativity, and idempotence.",Understand,
Explain why a matched filter is called an optimum filter.,Understand,
What is Digital Line Encoding? Explain any four factors that should be considered when selecting a Line Encoding format.,Understand,
Write about the shift register design and its implementation onto an FPGA.,Understand,
Explain transistorized bias compensation against variations in base-emitter voltage (VBE).,Understand,
What is knowledge representation?,Remember,
Explain about the architecture of Global System for Mobile Communications (GSM).,Understand,
Explain the concept of short-channel effects in detail.,Understand,
"With a neat block diagram, explain the operation of a Frequency Division Multiplexing technique.",Understand,
What is meant by transistor biasing? Describe various biasing methods.,Understand,
Distinguish between Synchronous and Asynchronous Voice-Band Modems.,Understand,
Compare paging and segmentation memory management techniques.,Understand,
Describe Dynamic CMOS logic and np CMOS Logic.,Understand,
Compute the centroid using the centroid method.,Apply,
Explain briefly about Signal Voltage-to-Quantization Noise Voltage Ratio.,Understand,
"Compare fixed, collector-to-base, and self-bias circuits.",Understand,
Explain about the OSI seven-layer International Protocol hierarchy.,Understand,
Write the steps involved in prototyping the HDL code onto an FPGA device.,Remember,
Explain MapReduce with an example.,Understand,
Describe Pseudo NMOS logic and Domino CMOS Logic.,Understand,
Define Cable Modems. Give its main advantages.,Understand,
Write the mathematical expression for a membership function.,Remember,
Describe AI applications in smart cities and IoT.,Understand,
Explain the semantic network approach.,Understand,
Define and explain Metastability.,Understand,
Explain about Data Communication Networks.,Understand,
Explain different digital signaling techniques.,Understand,
Explain decision trees and their role in AI.,Remember,
What are the characteristics of Electromagnetic waves?,Remember,
Draw the circuit diagram of a single-stage amplifier with a resistive load and explain its operation.,Understand,
Write short notes on Ratioed Circuits and Dynamic Circuits.,Remember,
Explain CMOS n-Well Fabrication steps with neat sketches.,Understand,
What is the significance of layered architecture in computer networks?,Understand,
Define predicate logic. Explain inference rules.,Remember,
What are the drawbacks of Delta Modulation (DM)? How can we overcome those drawbacks?,Understand,
Explain routing algorithms: Distance Vector vs. Link State.,Understand,
Explain Voice-Band Modern with block diagram.,Understand,
List out any four advantages of Optical Fiber cables.,Remember,
What are DSU and CSU?,Remember,
What is a current mirror? Explain the general properties of a current mirror with a block diagram.,Understand,
Obtain CB parameters in terms of CE parameters.,Apply,
Define Pulse Code Modulation (PCM). Explain briefly about PCM with suitable diagrams.,Understand,
Explain the importance of pass-transistor logic with examples.,Understand,
What are the different types of pre-processor directives available in â€˜Embedded Câ€™? Explain them in detail.,Remember,
Explain FinFET technology and its advantages over MOSFETs.,Understand,
Illustrate the functional blocks of FPGAs with a neat architecture diagram.,Understand,
Explain thrashing in OS. How can it be prevented?,Understand,
Explain the decoding logic for a DPSK demodulator.,Understand,
Explain switch logic implementation using pass transistors.,Understand,
Draw and explain a coherent ASK receiverâ€™s block diagram with equations.,Understand,
"Explain 2 Âµm Double Metal, Double Poly CMOS / Bi-CMOS rules.",Remember,
Describe the error backpropagation algorithm.,Understand,
Compare the advantages of FinFETs and TFETs in ultra-low-power applications.,Understand,
Illustrate how humans are better than computers.,Analyze,
Explain in detail the two-station data communication circuit with suitable diagrams.,Understand,
Tabulate differences between common-source and common-drain amplifiers.,Understand,
Explain how an LED differs from an ordinary PN junction diode and list its applications.,Understand,
Explain the role of AI in cybersecurity.,Understand,
What is aperture effect? Explain.,Understand,
Briefly discuss Master-Slave based edge-triggered registers with a neat diagram.,Understand,
Draw encoder/decoder diagrams for a cyclic code with 1+D+D3.,Apply,
What is A* search? Explain with an example.,Understand,
Explain Hadoop and its components.,Understand,
Classify and explain Data Communication Character Codes.,Understand,
Define the terms: i) Cell Splitting ii) Sectoring iii) Segmentation iv) Dualization.,Remember,
Explain the FPGA design process in the Xilinx environment.,Understand,
"Personal AI assistants (e.g., Siri, Alexa) struggle with understanding user emotions. Develop a novel mechanism for AI that allows it to interpret emotional context more accurately.",Create,
Draw a standard Cascode current sink circuit and explain its operation.,Understand,
Write a short note on short-channel effects.,Remember,
Explain entity-relationship (E-R) modeling with an example.,Understand,
Draw the FPGA design flow and explain.,Understand,
Write about the shift register design and its implementation onto an FPGA.,Apply,
Explain how a Zener diode acts as a voltage regulator.,Understand,
Define the terms: i) Bit Rate ii) Baud iii) Noise Voltage Ratio.,Remember,
Explain different digital signaling techniques.,Understand,
Draw and explain a coherent ASK receiver’s block diagram with equations.,Understand,
What is IP addressing? Explain IPv4 vs. IPv6 differences.,Understand,
Explain about the Synchronous Optical Network (SONET).,Understand,
Explain how optical fiber is constructed with a diagram.,Understand,
Explain the terms: i) Satellite Elevation categories ii) Satellite orbits and orbital patterns.,Understand,
Explain 2Î¼m CMOS design rules and discuss with layout examples.,Remember,
What is fuzzy reasoning? Explain types of fuzzy reasoning systems.,Understand,
Explain Voice-Band Modern with block diagram.,Understand,
Explain why delta modulation is a special case of DPCM.,Understand,
Create a novel method to reduce industrial CO? emissions through chemical absorption.,Create,
What are the advantages and disadvantages of distributed processing?,Understand,
Explain the importance of biasing and define the three stability factors.,Understand,
Describe the United States Digital Cellular System.,Understand,
What is the difference between WDM and D-WDM?,Understand,
Compare full-custom and semi-custom design methodologies.,Understand,
Why is a load flow study required?,Understand,
"Draw and explain Single-Channel, Simplex PCM transmission system.",Understand,
Describe the applications of AI in medical diagnostics.,Understand,
Describe support vector machines (SVM) for classification.,Understand,
What are different types of database models?,Remember,
Define mutual information and list its properties.,Remember,
Explain the fuzzification module.,Understand,
What are N-AMPS?,Remember,
Current AI training models require enormous datasets and computing power. How would you create an AI system that learns efficiently with minimal data?,Create,
What is Redundancy? Write about Character and Message Redundancy.,Understand,
Explain pipelining in digital circuits and its advantages.,Understand,
Explain the concept of Quality of Service (QoS) in networking.,Understand,
Discuss in brief the application of satellite communications.,Understand,
Explain the concept of explainable AI (XAI).,Understand,
List and explain the Optical Properties of Radio Waves.,Understand,
Determine the following: i) The channel capacity for a cellular telephone area comprised of seven microcells with 10 channels per cell. ii) Channel capacity if each microcell is split into four minicells. iii) Channel capacity if each minicell is further split into four microcells.,Apply,
What is the significance of Modem Equalizer in Modem Synchronization?,Understand,
What are the salient features of broadcast radio receivers? Explain in detail.,Understand,
Discuss genetic algorithms and their applications.,Understand,
What is Time-Division Multiplexing? Explain with block diagram.,Understand,
Write short notes on high-k metal technology.,Understand,
Describe the primary characteristics of electromagnetic waves.,Understand,
Write short notes on current sinks and sources.,Understand,
Discuss about Wavelength Division Multiplexing (WDM) in detail.,Understand,
Discuss the choice of fan-in and fan-out selection in gate-level design.,Understand,
Explain Amplitude Modulation with a neat sketch.,Understand,
Elaborate the principle of operation of an n-channel enhancement MOSFET and discuss the conditions for different regions of operation.,Understand,
Write short notes on: i) Asynchronous Voice-Band Modems ii) Synchronous Voice-Band Modems.,Understand,
Explain transistor modeling.,Understand,
Define uncertainty. How does it arise in real-time?,Understand,
Derive an expression for the continuity equation and explain its importance.,Apply,
Define A-law companding and Î¼-law companding.,Remember,
Propose a mathematical model to predict climate change effects on specific ecosystems over the next 50 years,Create,
Explain error detection techniques in data communication.,Understand,
Write and explain sources of power dissipation in VLSI design.,Understand,
Draw and explain the GSM system Architecture.,Understand,
Explain in detail about the single-mode and multi-mode step-index optical fiber.,Understand,
Implement an Ex-OR logic gate using CMOS logic.,Apply,
Explain the working of an enhancement-type MOSFET.,Understand,
Derive entropy for a binary asymmetric channel output.,Apply,
Explain the working of a depletion-type MOSFET.,Understand,
Explain the PMOS enhancement mode fabrication process for different conditions of Vds.,Understand,
Explain the merits and limitations of Parallel port over Serial RS-232 interface.,Understand,
Mention the standard organizations for data communications.,Remember,
Discuss the principles of TFET technology.,Understand,
What is Data Communication? Explain briefly data communication circuits.,Understand,
Explain the single-layer continuous perceptron network for linearly separable classification.,Understand,
What is Electrical noise? Write in brief the most prevalent types of Electrical noise.,Understand,
"Compare supervised, unsupervised, and reinforcement learning.",Understand,
Draw and explain the routing architecture of field-programmable gate arrays (FPGAs).,Understand,
Derive the expression for the Fermi level in an intrinsic semiconductor. Express electron and hole concentrations in terms of the Fermi level.,Apply,
The current layout of a standard 2:1 multiplexer has excessive delay. Propose an alternative arrangement that improves performance without increasing chip area.,Create,
Develop a plan for an earthquake-resistant high-rise building using innovative materials.,Create,
Why use a common-drain amplifier? Calculate its voltage and current gain.,Apply,
Explain Mux-based Latches with an example.,Understand,
Write a short note on Current sources and sinks.,Understand,
Describe the sequence of operation for communicating with an I2C slave device.,Understand,
List out the advantages of Optical Fiber cables.,Remember,
Explain process synchronization and critical section problems.,Understand,
Draw the circuit for an NMOS inverter and explain its operation and characteristics.,Understand,
Determine the pull-up to pull-down ratio for an NMOS inverter driven by one or more pass transistor inverters.,Apply,
Explain how a digital camera is implemented using an embedded operating system.,Understand,
Design a 2-input Ex-NOR using CMOS Transmission gate.,Create,
Develop an algorithm to optimize sorting for large datasets with a time complexity better than O(n log n).,Create,
Design a water distribution system for a small town using renewable energy sources.,Create,
Compare A* search with Greedy Best-First Search.,Understand,
Explain schemes for digital data transmission.,Remember,
What are concurrency control techniques in DBMS?,Remember,
Write about Linear versus Non-linear PCM codes.,Remember,
"Derive the expressions for the current gain, voltage gain, input impedance, and output impedance of a CB amplifier using the h-parameter model.",Apply,
What is a perceptron? Write the limitations of the perceptron model.,Remember,
Create a smart home automation system that integrates IoT for real-time energy monitoring.,Create,
Write a short note on SONET.,Remember,
Explain the training mechanism adopted in the Hopfield network.,Remember,
Explain the various transistor current components and their significance.,Remember,
Design a complete curriculum for teaching data science to high school students.,Create,
Explain the terms: i) Satellite Elevation categories ii) Satellite orbits and orbital patterns.,Remember,
Explain in detail about Microwave Communication Systems.,Remember,
"Explain about various network topologies. Also, give a brief description of network classification.",Remember,
Explain the use of AI in personalized healthcare.,Remember,
Explain in detail about Error-Correction mechanisms with suitable examples.,Remember,
Discuss briefly about Data Communications Circuits.,Remember,
Write a short note on the four predominant methods of Pulse Modulation.,Remember,
Define FDMA and write about AMPS identification codes.,Remember,
Discuss AI applications in recommendation systems.,Remember,
Define Subscriber Loop. Explain briefly about the working of a standard Telephone Set.,Remember,
Write the steps involved in prototyping the HDL code onto an FPGA device.,Remember,
Define Hamming Distance? Describe any four Error Detection Schemes.,Remember,
Explain about AMPS identification codes.,Remember,
"With a neat block diagram, explain the general system of optical fiber communication.",Remember,
Propose a new sustainable bridge design that minimizes environmental impact while ensuring durability.,Create,
Give the differences between Data Communication and Networks.,Remember,
Compare Linux and Windows operating systems.,Remember,
"Define Î±, Î², and Î³ of a transistor. Show how they are related to each other.",Remember,
Draw the circuit for an NMOS inverter and explain its operation and characteristics.,Remember,
Differentiate between forward chaining and backward chaining.,Remember,
Explain about Ground Wave and Space Wave Propagation.,Understand,
"Explain about Digital and Channel Service Units. Also, distinguish between them.",Understand,
Explain about the constraints in the choice of layers in VLSI design.,Understand,
Explain the operation of a PN junction diode when it is connected in reverse bias and forward bias.,Understand,
What is congestion control in networking? Explain different techniques.,Understand,
Explain the operation of multiplexer-based latches in detail.,Understand,
Define Electromagnetic Waves. Describe their characteristics.,Understand,
Draw the circuit diagram of an SR Master-Slave register and explain its operation.,Understand,
Derive the expression for propagation delay in the case of cascaded pass transistors.,Apply,
Draw the h-parameter equivalent circuit for a common base amplifier and derive expressions for Al and Av.,Apply,
Explain the relationship between received signal strength and data rate using a constellation diagram.,Understand,
Develop a self-sustaining wastewater treatment plant using microbial fuel cells.,Create,
Discuss different FPGA families and their differences.,Understand,
Describe the classification of Voice-Band Modems.,Understand,
What is a Subscriber Loop?,Remember,
Explain the body bias effect of a MOSFET in detail.,Understand,
What is a trigger in SQL? Explain with an example.,Understand,
Explain Master-Slave registers and cross-coupled NAND/NOR gates.,Understand,
Explain the importance of biasing and define the three stability factors.,Understand,
What is Interrupt? Explain its properties and what is its role in embedded application development?,Understand,
Explain the term setup time and hold time in VLSI circuits.,Understand,
Derive the weight change equation in the input and hidden layers of a backpropagation network.,Apply,
Discuss real-time stream processing in Big Data.,Understand,
Derive an expression for transconductance of an n-channel enhancement MOSFET operating in the active region.,Apply,
Explain the step-by-step approach of FPGA design in the Xilinx environment.,Understand,
List FPGA families and explain their differences.,Understand,
Explain the relationship between received signal strength and data rate using a constellation diagram.,Understand,
Describe pass transistors briefly with an example.,Understand,
What are the limitations in selecting the operating region in a transistor circuit?,Understand,
Compare connection-oriented and connectionless services.,Understand,
